127,-1016,115
121,-1005,131
115,-992,139
118,-1005,123
129,-997,113
127,-992,138
110,-1004,125
107,-1007,118
124,-983,107
126,-986,88
127,-991,104
101,-997,107
89,-1011,100
116,-1000,52
149,-965,114
133,-986,83
105,-1017,93
100,-1000,87
119,-981,129
139,-979,86
141,-987,127
122,-989,138
99,-1002,115
123,-989,135
131,-968,166
-70,795,457
124,-1002,147
120,-1008,131
125,-986,142
134,-983,160
134,-1004,104
132,-995,137
111,-986,112
114,-996,120
125,-989,80
137,-975,114
117,-988,78
120,-1010,82
115,-988,66
129,-976,112
117,-1004,77
114,-999,76
111,-978,107
114,-993,75
118,-995,90
103,-981,101
93,-994,115
89,-1012,113
87,-993,115
110,-985,99
120,-999,104
108,-986,122
93,-995,130
101,-1013,105
110,-984,94
133,-968,133
110,-999,100
99,-1016,89
146,3035,208
108,-985,104
124,-974,90
129,-990,132
112,-996,74
122,-992,99
128,-986,99
128,-984,109
121,-1000,86
122,-1006,116
115,-994,90
127,-987,85
122,-984,102
108,-1004,109
94,-1006,80
113,-994,82
126,-978,109
107,-996,96
106,-1013,77
111,-995,86
118,-990,93
120,-1005,74
115,-1003,96
101,-1005,73
106,-996,110
96,-992,71
119,-996,81
117,-990,90
117,-1003,85
116,-1005,91
117,-995,85
134,-997,117
130,-1006,77
-57,-1065,110
134,-995,104
128,-991,121
127,-1020,110
130,-1000,71
157,-982,122
139,-996,142
119,-1025,79
130,-1011,92
144,-982,117
142,-1008,129
122,-1027,69
138,-1008,92
138,-990,112
133,-1011,89
123,-1020,104
122,-1020,84
123,-1007,95
137,-1001,80
137,-1001,91
124,-1009,74
120,-1016,84
132,-1001,79
142,-999,92
135,-1017,73
134,-1012,95
121,-1004,122
126,-1025,76
151,-1015,98
153,-989,97
139,-1013,101
124,-1026,110
124,-1010,106
63,66,-24
133,-1004,106
151,-1012,102
142,-996,111
125,-1015,106
127,-1032,91
132,-1001,99
141,-997,130
132,-1022,78
133,-1018,72
134,-984,101
120,-1002,108
102,-1031,123
95,-1017,78
123,-987,99
128,-993,101
117,-1003,69
112,-1005,105
98,-1008,111
105,-1011,116
121,-992,106
138,-992,103
126,-1001,111
116,-1001,102
110,-993,122
126,-1001,111
113,-1004,99
136,-995,95
138,-979,90
132,-1002,95
118,-996,103
116,-992,95
129,-995,72
149,-976,91
-126,300,-72
135,-979,94
117,-1001,83
104,-998,90
126,-978,101
130,-983,108
127,-993,85
123,-979,80
114,-980,101
110,-989,127
98,-995,118
107,-994,130
125,-983,109
128,-971,127
111,-988,128
101,-1006,132
92,-999,127
124,-979,118
140,-969,115
133,-988,105
115,-1001,96
113,-985,108
113,-986,102
132,-979,76
130,-971,87
127,-984,79
122,-989,71
123,-983,82
126,-981,101
124,-991,85
121,-992,86
126,-980,72
130,-981,86
32,285,-46
115,-988,111
99,-993,111
97,-1000,84
120,-975,99
113,-966,112
